customer_id,order_id,purchase_date,product_category,product_name,quantity,unit_price,discount_given,sales_amount,customer_tier,city,payment_method
C1976,O66378,2026-04-11,Beauty,Moisturizer,4,3147,22,9818.64,Gold,Bangalore,UPI
C1417,O82075,2026-04-13,Fashion,Shoes,1,888,5,843.6,Silver,Pune,Net Banking
C1215,O75212,2025-08-16,Beauty,Shampoo,5,1195,15,5078.75,Silver,Bangalore,Net Banking
C1690,O38000,2026-03-07,Groceries,Milk,2,1519,15,2582.3,Silver,Hyderabad,Debit Card
C1230,O84067,2025-10-24,Groceries,Bread,4,1807,9,6577.48,Silver,Pune,Debit Card
C1715,O38010,2026-03-04,Beauty,Moisturizer,1,7146,1,7074.54,Gold,Chennai,Net Banking
C1839,O38899,2025-10-24,Beauty,Perfume,3,4048,28,8743.68,Silver,Mumbai,Net Banking
C1412,O34394,2026-05-11,Groceries,Milk,3,1458,25,3280.5,Silver,Hyderabad,Wallet
C1254,O28556,2025-10-04,Beauty,Moisturizer,3,2442,29,5201.46,Silver,Mumbai,UPI
C1527,O72327,2025-07-23,Home Decor,Carpet,2,8962,14,15414.64,Platinum,Mumbai,Credit Card
C1784,O14565,2026-03-25,Sports,Yoga Mat,1,10656,22,8311.68,Platinum,Mumbai,Wallet
C1888,O58944,2026-02-24,Electronics,Smartphone,5,34346,18,140818.6,Silver,Bangalore,Net Banking
C1348,O99685,2025-12-28,Beauty,Face Wash,5,8760,5,41610.0,Platinum,Chennai,UPI
C1536,O68659,2026-05-01,Beauty,Face Wash,3,4158,19,10103.94,Gold,Pune,Debit Card
C1795,O56562,2025-08-22,Beauty,Moisturizer,3,3810,15,9715.5,Platinum,Delhi,Wallet
C1435,O67833,2026-03-14,Sports,Cricket Bat,4,11302,3,43851.76,Gold,Pune,UPI
C1439,O75815,2026-04-11,Groceries,Milk,5,154,18,631.4,Silver,Pune,Wallet
C1332,O19060,2026-03-30,Groceries,Eggs,3,1121,14,2892.18,Silver,Hyderabad,UPI
C1379,O98580,2025-12-24,Groceries,Rice,2,3448,18,5654.72,Platinum,Pune,Wallet
C1891,O18699,2026-06-01,Sports,Football,3,9699,15,24732.45,Gold,Pune,UPI
C1647,O75960,2026-03-20,Home Decor,Lamp,3,4470,10,12069.0,Silver,Hyderabad,UPI
C1169,O73640,2026-02-02,Sports,Yoga Mat,3,15356,24,35011.68,Platinum,Hyderabad,Wallet
C1574,O46603,2026-01-16,Groceries,Rice,5,1332,23,5128.2,Platinum,Delhi,Credit Card
C1126,O88696,2026-02-13,Sports,Football,1,3776,19,3058.56,Platinum,Hyderabad,Debit Card
C1819,O39401,2026-04-05,Sports,Football,1,2946,20,2356.8,Platinum,Pune,Credit Card
C1144,O86082,2025-11-17,Beauty,Perfume,4,4608,2,18063.36,Gold,Pune,Net Banking
C1399,O64317,2025-11-21,Fashion,Shoes,5,6172,24,23453.6,Gold,Pune,Net Banking
C1118,O27541,2026-04-16,Electronics,Smartphone,3,64648,5,184246.8,Gold,Pune,Debit Card
C1747,O80309,2025-07-01,Fashion,Shoes,3,2397,10,6471.9,Gold,Chennai,Wallet
C1484,O48873,2026-05-16,Groceries,Milk,1,3728,4,3578.88,Platinum,Chennai,Wallet
C1613,O26625,2026-03-02,Fashion,Jacket,5,1728,10,7776.0,Gold,Chennai,Debit Card
C1717,O59128,2026-01-31,Groceries,Eggs,4,2724,3,10569.12,Platinum,Delhi,Net Banking
C1368,O82855,2025-09-14,Sports,Yoga Mat,4,7618,3,29557.84,Gold,Chennai,Wallet
C1872,O73588,2026-02-10,Electronics,Laptop,1,36823,11,32772.47,Silver,Delhi,Net Banking
C1592,O28657,2025-07-28,Sports,Dumbbells,1,6113,4,5868.48,Silver,Delhi,Debit Card
C1468,O54487,2026-05-18,Groceries,Rice,3,318,3,925.38,Silver,Mumbai,Debit Card
C1425,O51066,2025-11-13,Sports,Yoga Mat,1,15176,29,10774.96,Platinum,Chennai,Credit Card
C1608,O62741,2026-05-08,Electronics,Smart Watch,5,18784,8,86406.4,Platinum,Bangalore,Wallet
C1169,O96578,2026-05-22,Home Decor,Curtains,2,12448,14,21410.56,Platinum,Delhi,Credit Card
C1969,O45805,2025-10-24,Electronics,Laptop,4,59644,2,233804.48,Gold,Bangalore,Wallet
C1849,O19970,2025-07-07,Fashion,Shoes,5,3355,16,14091.0,Silver,Pune,Net Banking
C1767,O12092,2026-05-01,Fashion,Jeans,1,928,0,928.0,Silver,Hyderabad,UPI
C1372,O22611,2025-10-17,Electronics,Headphones,4,10517,26,31130.32,Silver,Hyderabad,Wallet
C1278,O39582,2026-03-06,Sports,Dumbbells,2,8332,22,12997.92,Gold,Chennai,Credit Card
C1772,O40850,2026-04-02,Electronics,Smart Watch,1,17648,9,16059.68,Silver,Bangalore,Wallet
C1060,O94756,2026-01-24,Home Decor,Lamp,2,15506,2,30391.76,Platinum,Mumbai,Net Banking
C1685,O59204,2025-08-31,Beauty,Perfume,4,2724,4,10460.16,Silver,Chennai,Net Banking
C1228,O81340,2026-05-24,Electronics,Laptop,4,90884,24,276287.36,Platinum,Mumbai,Debit Card
